workload,failure_scenario,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
create_order,F3,V5,RSR,110,0.07474272727272728,0.051449999999999996,0.0706709151587446,0.0095,0.1023,0.09280000000000001,0.0,0.2078,0.061535840817411286,0.08794961372804327
create_order,F3,V5,UAR,110,0.018302727272727273,0.0,0.03904532172305727,0.0,0.0,0.0,0.0,0.1143,0.011005989577320574,0.02559946496813397
create_order,F3,V5,RAF,110,1.1479536363636367,1.1015,0.13543486716328362,1.0484,1.2012,0.15280000000000005,1.0078,1.4572,1.1226437488561878,1.1732635238710856
create_order,F3,V5,DAF,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
create_order,F3,V5,P95,110,68.68799999999999,62.8815,60.30216466149773,18.355,83.569,65.214,11.102,258.343,57.418811821167914,79.95718817883207
create_order,F3,V5,throughput,110,1015.8733540465798,994.2379882843784,178.4454671160468,895.9958191601334,1152.1413208499418,256.1455016898085,615.8640152172287,1457.1698504018184,982.5257029319212,1049.2210051612385
create_order,F8,V0,DER,80,0.08962125000000001,0.07555,0.07121925975775821,0.0454,0.1841,0.13870000000000002,0.0087,0.2134,0.07401464159969488,0.10522785840030514
create_order,F8,V0,EOER,80,0.9103787499999998,0.92445,0.07121925975775821,0.8964,0.9881,0.0917,0.7866,0.9913,0.8947721415996946,0.9259853584003049
create_order,F8,V0,RSR,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F8,V0,UAR,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F8,V0,RAF,80,1.358485,1.3022,0.28487703903103284,1.1816,1.7364,0.5548,1.0348,1.8536,1.2960585663987794,1.4209114336012205
create_order,F8,V0,DAF,80,1.358485,1.3022,0.28487703903103284,1.1816,1.7364,0.5548,1.0348,1.8536,1.2960585663987794,1.4209114336012205
create_order,F8,V0,P95,80,31.86446250000001,35.486999999999995,13.089961226450152,26.467,41.864,15.396999999999998,7.793,51.93299999999999,28.99599827373246,34.73292672626756
create_order,F8,V0,throughput,80,824.4811255434967,810.9990076136057,519.5271990734013,368.1505707803007,1226.3442934564275,858.1937226761268,119.20855090478942,1689.1164471169086,710.6347084812539,938.3275426057394
create_order,F8,V2,DER,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F8,V2,EOER,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
create_order,F8,V2,RSR,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F8,V2,UAR,110,0.09273636363636363,0.0988,0.061062937493044006,0.0497,0.1029,0.053200000000000004,0.0076,0.2081,0.08132500324450798,0.10414772402821929
create_order,F8,V2,RAF,110,1.3709463636363637,1.3952,0.24425339777801475,1.1988,1.4116,0.21279999999999988,1.0304,1.8324,1.3253006141291817,1.4165921131435457
create_order,F8,V2,DAF,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
create_order,F8,V2,P95,110,25.83673636363637,22.2255,10.602715385867501,19.75,30.275,10.524999999999999,9.192,80.117,23.85531504052708,27.818157686745657
create_order,F8,V2,throughput,110,605.5742372416436,688.61420413021,362.81559147947326,251.9294602028295,722.7344704898525,470.805010287023,3.5346496767651447,1345.142231746077,537.7717429605884,673.3767315226987
create_order,F8,V4,DER,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F8,V4,EOER,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
create_order,F8,V4,RSR,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F8,V4,UAR,110,0.09277000000000002,0.09805,0.061093209806030564,0.0498,0.1033,0.053500000000000006,0.0076,0.2067,0.08135298235863153,0.1041870176413685
create_order,F8,V4,RAF,110,1.3710800000000005,1.3921999999999999,0.24437283922412228,1.1992,1.4132,0.21399999999999997,1.0304,1.8268,1.3254119294345266,1.4167480705654745
create_order,F8,V4,DAF,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
